location,goods,price,price_factors,supply_volume,quality_grade,record_date
Iwo Road,Potatoes,597.51,Government Policies,Scarce,Grade A (Fresh),2023-03-27
Sango,Chicken (Live),3283.02,Seasonal Availability,High,Grade A (Fresh),2023-03-23
Egbeda,Potatoes,714.83,Demand Surge,High,Grade B (Average),2023-05-12
Anthony Village,Plantain,382.72,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2023-07-11
Alimosho,Cucumber,169.29,Storage Limitations,Low,Grade B (Average),2023-06-20
Badagry,Mangoes,305.63,Seasonal Availability,Scarce,Grade B (Average),2023-02-19
Ologuneru,Oranges,267.53,Government Policies,High,Grade B (Average),2023-11-24
Ijegun,Chicken (Live),5744.32,Seasonal Availability,High,Grade A (Fresh),2024-03-30
Apata,Beans,888.45,Seasonal Availability,Moderate,Grade B (Average),2023-03-10
Epe,Mangoes,613.12,Fuel Price Hike,High,Grade A (Fresh),2023-02-06
Surulere,Maize,883.71,Demand Surge,Low,Grade A (Fresh),2023-10-03
Mokola,Pineapple,1048.23,Pest/Disease Outbreak,High,Grade B (Average),2023-05-15
UI (University of Ibadan),Okra,301.07,Government Policies,Scarce,Grade B (Average),2024-03-13
Sango,Potatoes,878.41,Demand Surge,Low,Grade C (Below Average),2023-01-29
Ologuneru,Plantain,247.66,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2023-08-21
Apapa,Cabbage,443.87,Government Policies,High,Grade A (Fresh),2023-10-26
Ketu,Ginger,2205.69,Weather Conditions,High,Grade A (Fresh),2024-01-02
Magodo,Fish (Fresh),2360.83,Storage Limitations,Moderate,Grade A (Fresh),2023-08-21
Oke Ado,Potatoes,1002.31,Demand Surge,Moderate,Grade B (Average),2023-05-10
Ikeja,Yam,786.48,Weather Conditions,Low,Grade A (Fresh),2024-02-03
Ajah,Banana,215.62,Market Competition,Moderate,Grade B (Average),2023-10-10
Ikorodu,Tomatoes,854.05,Seasonal Availability,Moderate,Grade A (Fresh),2023-02-21
Sango,Lettuce,263.43,Storage Limitations,Low,Grade B (Average),2023-06-20
Apapa,Oranges,171.78,Exchange Rate Fluctuation,High,Grade B (Average),2023-04-06
UI (University of Ibadan),Pineapple,603.14,Pest/Disease Outbreak,High,Grade A (Fresh),2023-11-17
Oke Bola,Cucumber,413.36,Exchange Rate Fluctuation,High,Grade B (Average),2023-01-21
Victoria Island (VI),Carrots,814.35,Storage Limitations,Low,Grade A (Fresh),2023-05-04
Mokola,Plantain,641.48,Fuel Price Hike,Low,Grade B (Average),2023-07-15
Monatan,Cucumber,159.22,Seasonal Availability,High,Grade B (Average),2023-11-27
Bodija,Pepper,1473.48,Demand Surge,Moderate,Grade A (Fresh),2023-04-04
Anthony Village,Pineapple,864.34,Transportation Cost,Moderate,Grade A (Fresh),2023-03-28
Dugbe,Tomatoes,1124.38,Pest/Disease Outbreak,Moderate,Grade C (Below Average),2023-03-02
Badagry,Ginger,2452.13,Fuel Price Hike,Scarce,Grade B (Average),2023-06-28
Challenge,Cucumber,168.56,Storage Limitations,Moderate,Grade A (Fresh),2023-08-15
Maryland,Fish (Fresh),4055.6,Demand Surge,Low,Grade A (Fresh),2023-01-11
Oshodi,Rice,1385.38,Transportation Cost,Scarce,Grade A (Fresh),2023-09-24
Yaba,Chicken (Live),4588.29,Fuel Price Hike,Moderate,Grade A (Fresh),2023-01-02
Iwo Road,Fish (Fresh),2720.71,Transportation Cost,Low,Grade A (Fresh),2023-01-30
Iwo Road,Potatoes,673.97,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2024-01-12
Ajah,Pineapple,1187.36,Storage Limitations,High,Grade C (Below Average),2023-06-28
Ikeja,Fish (Fresh),4707.38,Weather Conditions,High,Grade B (Average),2023-10-31
Mokola,Banana,104.73,Pest/Disease Outbreak,High,Grade A (Fresh),2024-02-25
Sango,Potatoes,588.44,Demand Surge,High,Grade B (Average),2023-02-10
Challenge,Beans,1124.85,Seasonal Availability,Low,Grade B (Average),2023-11-04
Egbeda,Fish (Fresh),2402.21,Market Competition,Low,Grade B (Average),2023-12-23
Apapa,Pineapple,1421.56,Demand Surge,High,Grade A (Fresh),2024-01-31
Badagry,Maize,595.24,Market Competition,Low,Grade C (Below Average),2024-01-30
Bodija,Okra,858.5,Weather Conditions,Low,Grade B (Average),2023-07-02
Mokola,Pineapple,1078.8,Transportation Cost,Moderate,Grade A (Fresh),2023-12-10
Oke Bola,Cucumber,207.17,Weather Conditions,High,Grade A (Fresh),2023-04-13
Surulere,Yam,1820.15,Demand Surge,Moderate,Grade A (Fresh),2024-02-22
Samonda,Ginger,1714.15,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2023-03-01
Lekki,Maize,243.01,Market Competition,Low,Grade A (Fresh),2023-10-31
Dugbe,Mangoes,393.84,Pest/Disease Outbreak,High,Grade A (Fresh),2023-11-02
Ketu,Sweet Potatoes,293.04,Storage Limitations,Moderate,Grade B (Average),2023-04-13
Ikeja,Fish (Fresh),3544.3,Government Policies,High,Grade B (Average),2023-12-07
Molete,Yam,1818.72,Fuel Price Hike,High,Grade A (Fresh),2023-05-14
Iwo Road,Sweet Potatoes,796.66,Pest/Disease Outbreak,Low,Grade B (Average),2023-08-30
Surulere,Rice,1456.56,Storage Limitations,Moderate,Grade B (Average),2023-06-13
Ologuneru,Beans,1338.62,Exchange Rate Fluctuation,Low,Grade A (Fresh),2024-01-13
Apata,Pineapple,610.2,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-10-22
Victoria Island (VI),Oranges,72.6,Government Policies,Moderate,Grade B (Average),2023-06-05
Surulere,Lettuce,238.44,Seasonal Availability,High,Grade B (Average),2023-06-01
Maryland,Spinach,306.16,Fuel Price Hike,Moderate,Grade A (Fresh),2023-11-25
Victoria Island (VI),Cabbage,253.75,Storage Limitations,High,Grade A (Fresh),2023-04-08
Lekki,Okra,251.9,Seasonal Availability,Moderate,Grade B (Average),2023-07-13
Samonda,Rice,947.95,Storage Limitations,Moderate,Grade A (Fresh),2023-09-05
Surulere,Fish (Fresh),4602.15,Pest/Disease Outbreak,High,Grade B (Average),2023-05-14
Mushin,Ginger,1950.39,Exchange Rate Fluctuation,High,Grade C (Below Average),2023-03-03
Badagry,Beans,667.58,Demand Surge,Scarce,Grade B (Average),2023-05-11
Oke Ado,Tomatoes,687.39,Government Policies,Moderate,Grade A (Fresh),2023-03-31
Surulere,Lettuce,379.36,Market Competition,Low,Grade A (Fresh),2024-03-02
Bodija,Yam,974.63,Exchange Rate Fluctuation,Scarce,Grade B (Average),2023-10-21
Akobo,Beans,751.66,Pest/Disease Outbreak,Low,Grade A (Fresh),2023-04-03
Epe,Cucumber,185.76,Storage Limitations,High,Grade A (Fresh),2023-06-23
Gbagada,Lettuce,357.37,Seasonal Availability,Moderate,Grade A (Fresh),2023-06-19
Festac Town,Watermelon,1658.38,Government Policies,Scarce,Grade A (Fresh),2023-06-12
Jericho,Carrots,712.85,Government Policies,High,Grade A (Fresh),2024-03-24
Epe,Yam,457.41,Government Policies,Moderate,Grade B (Average),2023-08-30
Akobo,Yam,1140.23,Government Policies,High,Grade B (Average),2023-08-09
Lekki,Pepper,721.49,Seasonal Availability,Moderate,Grade A (Fresh),2023-08-23
Agege,Onions,618.95,Storage Limitations,Moderate,Grade B (Average),2023-03-12
Ogba,Beans,1341.79,Fuel Price Hike,Low,Grade A (Fresh),2023-06-25
Bodija,Mangoes,1015.09,Fuel Price Hike,Moderate,Grade B (Average),2024-02-14
Apata,Sweet Potatoes,672.67,Weather Conditions,High,Grade B (Average),2023-08-30
Eleyele,Potatoes,298.81,Government Policies,High,Grade A (Fresh),2023-04-15
Ogba,Cabbage,649.05,Government Policies,Low,Grade A (Fresh),2023-08-12
UI (University of Ibadan),Mangoes,742.75,Fuel Price Hike,Low,Grade A (Fresh),2023-04-13
Iwo Road,Chicken (Live),8258.24,Exchange Rate Fluctuation,Moderate,Grade B (Average),2023-04-01
Molete,Lettuce,278.84,Transportation Cost,High,Grade A (Fresh),2023-07-10
Ketu,Chicken (Live),12302.95,Demand Surge,Moderate,Grade A (Fresh),2023-03-13
Bodija,Yam,825.03,Seasonal Availability,Moderate,Grade A (Fresh),2023-01-01
Mokola,Tomatoes,669.47,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-08-07
Agbowo,Sweet Potatoes,455.89,Transportation Cost,Scarce,Grade B (Average),2023-11-24
Apapa,Pepper,545.38,Transportation Cost,Low,Grade A (Fresh),2024-01-27
Mokola,Pepper,880.14,Transportation Cost,Moderate,Grade A (Fresh),2024-03-09
Agodi GRA,Rice,1072.1,Seasonal Availability,Moderate,Grade A (Fresh),2023-04-22
Orita-Challenge,Onions,335.52,Demand Surge,High,Grade B (Average),2023-10-05
Lekki,Cucumber,415.39,Demand Surge,High,Grade A (Fresh),2023-08-22
Ologuneru,Carrots,630.22,Transportation Cost,Moderate,Grade B (Average),2023-08-02
Dugbe,Rice,1588.62,Storage Limitations,Scarce,Grade B (Average),2023-11-13
Akobo,Banana,330.31,Fuel Price Hike,Scarce,Grade A (Fresh),2023-01-21
Ologuneru,Onions,492.79,Demand Surge,Low,Grade B (Average),2023-11-19
Egbeda,Pepper,938.91,Fuel Price Hike,High,Grade A (Fresh),2024-01-27
Sango,Maize,690.22,Pest/Disease Outbreak,High,Grade A (Fresh),2023-12-13
Ikeja,Pepper,967.64,Market Competition,Moderate,Grade A (Fresh),2023-07-19
Ikeja,Yam,517.15,Market Competition,Moderate,Grade A (Fresh),2023-10-10
Oke Bola,Cucumber,152.64,Government Policies,High,Grade A (Fresh),2023-08-27
Ajah,Garlic,1359.7,Pest/Disease Outbreak,High,Grade C (Below Average),2023-01-22
Molete,Carrots,577.48,Fuel Price Hike,Moderate,Grade A (Fresh),2023-09-25
Ijegun,Ginger,3764.78,Demand Surge,High,Grade A (Fresh),2024-03-01
Ketu,Potatoes,590.39,Government Policies,High,Grade A (Fresh),2024-03-25
Jericho,Watermelon,3497.24,Demand Surge,Low,Grade A (Fresh),2023-02-15
Oke Ado,Beans,719.23,Exchange Rate Fluctuation,Scarce,Grade A (Fresh),2024-01-01
Dugbe,Sweet Potatoes,472.59,Government Policies,Moderate,Grade A (Fresh),2024-01-06
Apapa,Tomatoes,853.14,Weather Conditions,High,Grade C (Below Average),2023-05-18
Ikoyi,Lettuce,439.73,Weather Conditions,Moderate,Grade B (Average),2024-01-30
Iwo Road,Spinach,335.94,Storage Limitations,High,Grade B (Average),2023-12-02
Surulere,Rice,628.69,Transportation Cost,High,Grade C (Below Average),2023-08-05
Ologuneru,Mangoes,518.79,Transportation Cost,Moderate,Grade C (Below Average),2024-03-19
Ijegun,Mangoes,593.45,Fuel Price Hike,Scarce,Grade B (Average),2023-02-24
Apapa,Banana,267.64,Demand Surge,Moderate,Grade C (Below Average),2023-09-14
UI (University of Ibadan),Banana,210.51,Seasonal Availability,High,Grade A (Fresh),2024-03-21
Lekki,Mangoes,448.32,Pest/Disease Outbreak,High,Grade A (Fresh),2024-02-14
Apapa,Chicken (Live),8217.95,Weather Conditions,Moderate,Grade C (Below Average),2023-01-02
Epe,Plantain,873.23,Storage Limitations,High,Grade C (Below Average),2023-08-29
Ajah,Lettuce,853.0,Demand Surge,Moderate,Grade A (Fresh),2024-03-22
Ojodu,Pineapple,560.36,Pest/Disease Outbreak,Scarce,Grade A (Fresh),2023-06-20
Maryland,Chicken (Live),9153.45,Demand Surge,Moderate,Grade A (Fresh),2023-08-07
Maryland,Pineapple,933.67,Storage Limitations,High,Grade A (Fresh),2023-02-12
Dugbe,Cucumber,304.53,Market Competition,High,Grade A (Fresh),2024-02-21
Jericho,Carrots,574.66,Seasonal Availability,High,Grade A (Fresh),2023-08-21
Badagry,Oranges,460.92,Fuel Price Hike,Moderate,Grade A (Fresh),2024-02-29
Lekki,Chicken (Live),6936.47,Weather Conditions,Moderate,Grade A (Fresh),2024-03-24
Ijegun,Chicken (Live),9046.87,Transportation Cost,High,Grade B (Average),2024-03-11
Ijegun,Beans,1441.15,Transportation Cost,Low,Grade C (Below Average),2023-02-19
Badagry,Sweet Potatoes,731.91,Demand Surge,Moderate,Grade A (Fresh),2024-01-17
Gbagada,Pineapple,496.74,Demand Surge,Low,Grade A (Fresh),2024-03-29
Mushin,Maize,828.81,Demand Surge,Moderate,Grade A (Fresh),2024-02-06
Apapa,Yam,1004.72,Exchange Rate Fluctuation,High,Grade A (Fresh),2024-01-15
Ojodu,Cucumber,384.0,Pest/Disease Outbreak,Low,Grade B (Average),2023-12-14
Oke Ado,Pepper,1109.65,Pest/Disease Outbreak,High,Grade A (Fresh),2023-08-02
Jericho,Cucumber,340.24,Pest/Disease Outbreak,Moderate,Grade C (Below Average),2023-01-30
Ijegun,Plantain,788.95,Storage Limitations,High,Grade B (Average),2023-12-04
Challenge,Ginger,1187.73,Exchange Rate Fluctuation,Low,Grade B (Average),2023-09-20
Oke Bola,Pepper,1410.16,Fuel Price Hike,High,Grade C (Below Average),2023-05-13
Bashorun,Banana,170.87,Storage Limitations,High,Grade A (Fresh),2023-05-09
Oluyole Estate,Chicken (Live),10334.34,Fuel Price Hike,Moderate,Grade B (Average),2023-08-07
Anthony Village,Plantain,214.9,Storage Limitations,Scarce,Grade A (Fresh),2023-03-12
Ologuneru,Rice,1198.9,Market Competition,Moderate,Grade A (Fresh),2023-02-14
Ijegun,Lettuce,294.03,Weather Conditions,Moderate,Grade A (Fresh),2023-03-02
Magodo,Potatoes,1449.73,Demand Surge,Low,Grade A (Fresh),2024-03-09
Egbeda,Oranges,122.08,Transportation Cost,Moderate,Grade B (Average),2023-12-04
Anthony Village,Sweet Potatoes,250.17,Seasonal Availability,Moderate,Grade B (Average),2023-05-03
Yaba,Banana,627.88,Demand Surge,Scarce,Grade A (Fresh),2024-03-11
Agodi GRA,Oranges,247.64,Demand Surge,High,Grade C (Below Average),2023-05-12
Jericho,Pineapple,945.36,Seasonal Availability,Moderate,Grade A (Fresh),2024-01-08
Agbowo,Watermelon,696.97,Exchange Rate Fluctuation,Low,Grade B (Average),2023-08-03
Ikeja,Pineapple,636.23,Storage Limitations,Moderate,Grade B (Average),2023-04-20
Alimosho,Cabbage,640.39,Exchange Rate Fluctuation,Low,Grade A (Fresh),2023-04-01
Apata,Onions,724.92,Market Competition,Moderate,Grade A (Fresh),2024-01-28
Eleyele,Cabbage,692.04,Government Policies,Moderate,Grade A (Fresh),2023-12-31
Amuwo Odofin,Chicken (Live),6719.26,Seasonal Availability,Low,Grade B (Average),2023-12-01
Monatan,Potatoes,416.39,Transportation Cost,Moderate,Grade A (Fresh),2023-12-15
Ijegun,Watermelon,1369.19,Storage Limitations,High,Grade B (Average),2023-10-18
Anthony Village,Banana,322.88,Seasonal Availability,High,Grade C (Below Average),2024-02-20
Ojodu,Sweet Potatoes,390.56,Storage Limitations,Moderate,Grade B (Average),2023-07-08
Ojoo,Okra,946.34,Pest/Disease Outbreak,High,Grade B (Average),2023-05-12
Magodo,Ginger,2025.83,Storage Limitations,High,Grade B (Average),2023-04-03
Mokola,Cabbage,406.45,Market Competition,Scarce,Grade B (Average),2023-12-06
Amuwo Odofin,Chicken (Live),4585.15,Pest/Disease Outbreak,High,Grade A (Fresh),2023-08-10
Maryland,Okra,461.79,Pest/Disease Outbreak,High,Grade B (Average),2024-02-26
Yaba,Pepper,2598.6,Demand Surge,High,Grade B (Average),2023-03-10
Alimosho,Spinach,332.76,Exchange Rate Fluctuation,High,Grade A (Fresh),2024-01-12
Yaba,Tomatoes,445.75,Transportation Cost,High,Grade A (Fresh),2024-02-25
Dugbe,Rice,1306.5,Seasonal Availability,High,Grade A (Fresh),2023-05-10
Apapa,Ginger,867.55,Seasonal Availability,Low,Grade B (Average),2023-06-21
Akobo,Cucumber,413.77,Fuel Price Hike,High,Grade A (Fresh),2023-04-05
Ketu,Oranges,196.81,Market Competition,Moderate,Grade B (Average),2023-02-28
Egbeda,Rice,1188.18,Market Competition,Low,Grade B (Average),2023-11-22
Sango,Cabbage,221.98,Market Competition,Low,Grade B (Average),2023-01-04
Challenge,Rice,948.37,Exchange Rate Fluctuation,Low,Grade A (Fresh),2024-02-04
Surulere,Pineapple,590.12,Government Policies,Moderate,Grade A (Fresh),2023-10-15
Festac Town,Maize,578.69,Government Policies,Scarce,Grade B (Average),2023-12-08
Egbeda,Spinach,466.68,Market Competition,Scarce,Grade A (Fresh),2023-08-04
Sango,Rice,862.28,Transportation Cost,High,Grade A (Fresh),2023-11-29
Oke Ado,Yam,504.49,Market Competition,Low,Grade A (Fresh),2023-04-04
Ijegun,Pepper,1028.83,Storage Limitations,High,Grade B (Average),2023-02-19
Ogba,Potatoes,535.88,Market Competition,Moderate,Grade A (Fresh),2023-04-03
Ring Road (Central Ibadan),Okra,711.64,Pest/Disease Outbreak,Low,Grade A (Fresh),2023-01-02
Epe,Potatoes,1019.01,Fuel Price Hike,High,Grade A (Fresh),2023-02-08
Victoria Island (VI),Pineapple,1317.37,Demand Surge,Moderate,Grade A (Fresh),2023-08-26
Challenge,Cucumber,426.66,Government Policies,Moderate,Grade A (Fresh),2023-09-28
Yaba,Rice,1929.62,Demand Surge,Scarce,Grade A (Fresh),2023-12-13
Akobo,Mangoes,179.32,Storage Limitations,High,Grade B (Average),2023-02-13
Epe,Spinach,456.62,Pest/Disease Outbreak,Low,Grade A (Fresh),2023-10-10
Ojoo,Pepper,730.17,Market Competition,Low,Grade A (Fresh),2023-08-31
Amuwo Odofin,Ginger,3803.8,Demand Surge,Scarce,Grade B (Average),2023-09-15
Ikorodu,Okra,573.55,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-04-29
Oshodi,Cucumber,300.2,Weather Conditions,Low,Grade C (Below Average),2023-05-23
Yaba,Lettuce,340.47,Weather Conditions,Low,Grade A (Fresh),2024-01-10
Molete,Watermelon,812.13,Transportation Cost,High,Grade A (Fresh),2023-11-13
Bashorun,Onions,343.03,Storage Limitations,Low,Grade C (Below Average),2023-06-03
Akobo,Carrots,1059.27,Fuel Price Hike,High,Grade B (Average),2024-01-08
Ojoo,Banana,451.87,Government Policies,Low,Grade B (Average),2023-08-22
Ikorodu,Spinach,168.62,Demand Surge,High,Grade A (Fresh),2023-12-15
Apapa,Potatoes,307.96,Storage Limitations,Moderate,Grade B (Average),2023-02-26
Oluyole Estate,Pepper,1272.76,Market Competition,Low,Grade A (Fresh),2023-08-16
Festac Town,Onions,355.23,Market Competition,High,Grade C (Below Average),2023-01-30
Ketu,Lettuce,654.23,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-05-30
Badagry,Garlic,2594.33,Storage Limitations,High,Grade A (Fresh),2023-10-26
Ikorodu,Watermelon,1947.24,Weather Conditions,Moderate,Grade A (Fresh),2023-02-10
Samonda,Watermelon,1089.38,Storage Limitations,High,Grade B (Average),2023-01-24
Ikorodu,Oranges,233.21,Storage Limitations,High,Grade A (Fresh),2024-03-13
Agodi GRA,Yam,1464.11,Storage Limitations,High,Grade A (Fresh),2023-02-26
Ikoyi,Potatoes,660.85,Government Policies,Scarce,Grade B (Average),2023-08-12
Agbowo,Fish (Fresh),3158.99,Pest/Disease Outbreak,Low,Grade A (Fresh),2023-05-29
Dugbe,Pineapple,295.48,Seasonal Availability,High,Grade A (Fresh),2023-06-22
Festac Town,Cucumber,225.71,Seasonal Availability,Low,Grade B (Average),2023-12-28
Surulere,Watermelon,2363.65,Pest/Disease Outbreak,High,Grade B (Average),2023-07-09
Orita-Challenge,Lettuce,455.19,Pest/Disease Outbreak,High,Grade B (Average),2023-06-11
Orita-Challenge,Ginger,1025.04,Storage Limitations,Moderate,Grade A (Fresh),2023-05-04
Ojodu,Potatoes,294.82,Government Policies,Low,Grade B (Average),2023-08-30
Ogba,Banana,243.01,Exchange Rate Fluctuation,Moderate,Grade B (Average),2023-09-19
Sango,Beans,640.87,Storage Limitations,High,Grade A (Fresh),2023-01-24
Badagry,Plantain,426.56,Weather Conditions,High,Grade B (Average),2023-12-23
Epe,Cucumber,200.82,Pest/Disease Outbreak,High,Grade B (Average),2023-02-22
Epe,Mangoes,480.31,Seasonal Availability,High,Grade A (Fresh),2023-05-13
Gbagada,Banana,250.96,Market Competition,High,Grade A (Fresh),2024-02-24
Amuwo Odofin,Garlic,3327.99,Weather Conditions,High,Grade B (Average),2024-01-12
Agbowo,Onions,713.19,Storage Limitations,High,Grade A (Fresh),2023-07-23
Badagry,Cabbage,595.19,Storage Limitations,Moderate,Grade B (Average),2023-12-26
Ologuneru,Garlic,2024.67,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-08-31
Orita-Challenge,Garlic,3337.36,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2023-12-23
Festac Town,Cabbage,150.24,Storage Limitations,Low,Grade B (Average),2023-07-17
Mokola,Beans,546.97,Transportation Cost,Moderate,Grade B (Average),2023-08-05
Badagry,Oranges,265.33,Market Competition,Low,Grade B (Average),2023-04-11
Alimosho,Plantain,893.12,Weather Conditions,High,Grade A (Fresh),2023-05-11
Orita-Challenge,Rice,1444.84,Exchange Rate Fluctuation,Moderate,Grade A (Fresh),2023-10-28
Epe,Ginger,1803.82,Transportation Cost,High,Grade C (Below Average),2023-10-09
Alimosho,Beans,699.14,Transportation Cost,High,Grade A (Fresh),2023-07-30
Bodija,Potatoes,1124.1,Fuel Price Hike,Low,Grade B (Average),2023-03-18
Ketu,Spinach,176.12,Government Policies,High,Grade C (Below Average),2024-02-22
Alimosho,Ginger,2031.57,Pest/Disease Outbreak,Low,Grade B (Average),2024-03-23
Ogba,Cabbage,693.05,Seasonal Availability,High,Grade B (Average),2024-01-25
Ketu,Garlic,2728.95,Seasonal Availability,High,Grade B (Average),2024-03-07
Akobo,Sweet Potatoes,527.85,Fuel Price Hike,Moderate,Grade A (Fresh),2023-10-12
Eleyele,Lettuce,238.8,Storage Limitations,High,Grade A (Fresh),2023-04-21
Magodo,Fish (Fresh),2361.04,Seasonal Availability,Low,Grade B (Average),2023-06-23
Apata,Mangoes,556.37,Market Competition,Low,Grade C (Below Average),2023-04-07
Samonda,Beans,917.41,Demand Surge,High,Grade B (Average),2023-02-04
Oshodi,Carrots,884.49,Pest/Disease Outbreak,Moderate,Grade A (Fresh),2023-03-20
Bashorun,Watermelon,1176.28,Demand Surge,High,Grade B (Average),2023-04-16
Agbowo,Ginger,4236.7,Fuel Price Hike,Moderate,Grade A (Fresh),2023-05-11
Ikorodu,Watermelon,687.18,Demand Surge,Low,Grade B (Average),2023-12-26
Ikeja,Yam,526.86,Exchange Rate Fluctuation,High,Grade A (Fresh),2023-12-03
Ring Road (Central Ibadan),Fish (Fresh),2583.48,Transportation Cost,High,Grade B (Average),2023-03-30
Oke Bola,Pineapple,362.53,Market Competition,High,Grade B (Average),2024-03-23
Molete,Pineapple,1193.43,Weather Conditions,Low,Grade B (Average),2024-01-11
Ogba,Potatoes,565.43,Pest/Disease Outbreak,High,Grade B (Average),2023-12-15
Apata,Mangoes,778.19,Fuel Price Hike,High,Grade B (Average),2023-12-13
Anthony Village,Onions,741.12,Demand Surge,Low,Grade A (Fresh),2023-01-06
Oke Bola,Pepper,790.88,Transportation Cost,Scarce,Grade B (Average),2023-04-07
Ring Road (Central Ibadan),Tomatoes,358.52,Pest/Disease Outbreak,Low,Grade B (Average),2024-03-08
Gbagada,Tomatoes,1152.9,Transportation Cost,High,Grade A (Fresh),2023-07-05
Orita-Challenge,Potatoes,520.04,Pest/Disease Outbreak,High,Grade B (Average),2023-08-09
Agodi GRA,Sweet Potatoes,445.7,Demand Surge,High,Grade A (Fresh),2023-09-17
